Formula, something, somethingelse,Formula_mono_iso_wt_nat
C13H16N2O6,12,14,296.1008363
C13H16N2O6,13,14,309.1444491
C13H16N2O6,12,15,298.094906
C13H16N2O6,13,15,311.1385189
C11H11NO4,12,14,221.0688078
C11H11NO4,13,14,232.1057111
C11H11NO4,12,15,222.0658427
C11H11NO4,13,15,233.102746
C11H11NO6,12,14,253.0586371
C11H11NO6,13,14,264.0955403
C11H11NO6,12,15,254.055672
C11H11NO6,13,15,265.0925752
C7H4NNaO3S,12,14,204.9809584
C7H4NNaO3S,13,14,212.0044422
C7H4NNaO3S,12,15,205.9779933
C7H4NNaO3S,13,15,213.0014771
C19H23NO2,12,14,297.172879
C19H23NO2,13,14,316.2366209
C19H23NO2,12,15,298.1699139
C19H23NO2,13,15,317.2336558
C19H23NO3,12,14,313.1677936
C19H23NO3,13,14,332.2315355
C19H23NO3,12,15,314.1648285
C19H23NO3,13,15,333.2285704
C19H23NO4,12,14,329.1627082
C19H23NO4,13,14,348.2264502
C19H23NO4,12,15,330.1597431
C19H23NO4,13,15,349.223485
C19H23NO5,12,14,345.1576229
C19H23NO5,13,14,364.2213648
C19H23NO5,12,15,346.1546577
C19H23NO5,13,15,365.2183997
C28H31N3O6,12,14,505.2212857
C28H31N3O6,13,14,533.3152212
C28H31N3O6,12,15,508.2123904
C28H31N3O6,13,15,536.3063259
C17H12ClNO2S,12,14,329.027727
C17H12ClNO2S,13,14,346.0847593
C17H12ClNO2S,12,15,330.0247619
C17H12ClNO2S,13,15,347.0817942
C19H23NO6,12,14,361.1525375
C19H23NO6,13,14,380.2162794
C19H23NO6,12,15,362.1495724
C19H23NO6,13,15,381.2133143
C40H68O11,12,14,724.476163
C40H68O11,13,14,764.6103565
C40H68O11,12,15,724.476163
C40H68O11,13,15,764.6103565
C11H17N3O7S,12,14,335.0787206
C11H17N3O7S,13,14,346.1156238
C11H17N3O7S,12,15,338.0698253
C11H17N3O7S,13,15,349.1067285
C22H27NO2,12,14,337.2041791
C22H27NO2,13,14,359.2779855
C22H27NO2,12,15,338.201214
C22H27NO2,13,15,360.2750204
C22H27NO3,12,14,353.1990937
C22H27NO3,13,14,375.2729002
C22H27NO3,12,15,354.1961286
C22H27NO3,13,15,376.2699351
C22H27NO4,12,14,369.1940084
C22H27NO4,13,14,391.2678148
C22H27NO4,12,15,370.1910433
C22H27NO4,13,15,392.2648497
C29H38N2O4,12,14,478.2831577
C29H38N2O4,13,14,507.380448
C29H38N2O4,12,15,480.2772275
C29H38N2O4,13,15,509.3745178
C2H3O2,12,14,59.01330434
C2H3O2,13,14,61.02001402
C2H3O2,12,15,59.01330434
C2H3O2,13,15,61.02001402
C6H15N5,12,14,157.1327455
C6H15N5,13,14,163.1528745
C6H15N5,12,15,162.11792
C6H15N5,13,15,168.138049
C8H8F3N3O4S2,12,14,330.9908317
C8H8F3N3O4S2,13,14,339.0176704
C8H8F3N3O4S2,12,15,333.9819364
C8H8F3N3O4S2,13,15,342.0087751
C25H49NO4,12,14,427.3661591
C25H49NO4,13,14,452.45003
C25H49NO4,12,15,428.363194
C25H49NO4,13,15,453.4470649
C24H22N2+2,12,14,338.1772016
C24H22N2+2,13,14,362.2577177
C24H22N2+2,12,15,340.1712713
C24H22N2+2,13,15,364.2517875
C4H8O2S,12,14,120.0245002
C4H8O2S,13,14,124.0379195
C4H8O2S,12,15,120.0245002
C4H8O2S,13,15,124.0379195
C26H24O5,12,14,416.1623739
C26H24O5,13,14,442.2495997
C26H24O5,12,15,416.1623739
C26H24O5,13,15,442.2495997
C21H26ClN3OS,12,14,403.1485109
C21H26ClN3OS,13,14,424.2189625
C21H26ClN3OS,12,15,406.1396156
C21H26ClN3OS,13,15,427.2100671
C14H15ClN2,12,14,246.0923762
C14H15ClN2,13,14,260.1393439
C14H15ClN2,12,15,248.086446
C14H15ClN2,13,15,262.1334137
C21H36O2,12,14,320.2715304
C21H36O2,13,14,341.341982
C21H36O2,12,15,320.2715304
C21H36O2,13,15,341.341982
C13H10Cl2,12,14,236.0159557
C13H10Cl2,13,14,249.0595686
C13H10Cl2,12,15,236.0159557
C13H10Cl2,13,15,249.0595686
C21H36O4,12,14,352.2613596
C21H36O4,13,14,373.3318112
C21H36O4,12,15,352.2613596
C21H36O4,13,15,373.3318112
C5H4N4,12,14,120.0435961
C5H4N4,13,14,125.0603703
C5H4N4,12,15,124.0317357
C5H4N4,13,15,129.0485099
C22H17ClN2,12,14,344.1080263
C22H17ClN2,13,14,366.1818327
C22H17ClN2,12,15,346.1020961
C22H17ClN2,13,15,368.1759025
C21H36O5,12,14,368.2562743
C21H36O5,13,14,389.3267259
C21H36O5,12,15,368.2562743
C21H36O5,13,15,389.3267259
C10H14N5+,12,14,204.1243719
C10H14N5+,13,14,214.1579203
C10H14N5+,12,15,209.1095464
C10H14N5+,13,15,219.1430947
C20H30N2O5S,12,14,410.1875428
C20H30N2O5S,13,14,430.2546395
C20H30N2O5S,12,15,412.1816126
C20H30N2O5S,13,15,432.2487093
C43H65N5O10,12,14,811.4731433
C43H65N5O10,13,14,854.6174014
C43H65N5O10,12,15,816.4583178
C43H65N5O10,13,15,859.6025758
C14H16O10,12,14,344.0743467
C14H16O10,13,14,358.1213145
C14H16O10,12,15,344.0743467
C14H16O10,13,15,358.1213145
C24H47NO10S,12,14,541.2920674
C24H47NO10S,13,14,565.3725835
C24H47NO10S,12,15,542.2891023
C24H47NO10S,13,15,566.3696184
C16H22N4O3,12,14,318.1691906
C16H22N4O3,13,14,334.222868
C16H22N4O3,12,15,322.1573302
C16H22N4O3,13,15,338.2110076
C13H10ClNO2,12,14,247.0400063
C13H10ClNO2,13,14,260.0836192
C13H10ClNO2,12,15,248.0370412
C13H10ClNO2,13,15,261.0806541
C15H18N2,12,14,226.1469986
C15H18N2,13,14,241.1973212
C15H18N2,12,15,228.1410684
C15H18N2,13,15,243.1913909
C8H9N3O2,12,14,179.0694765
C8H9N3O2,13,14,187.0963153
C8H9N3O2,12,15,182.0605812
C8H9N3O2,13,15,190.0874199
C13H19N3O4,12,14,281.1375561
C13H19N3O4,13,14,294.181169
C13H19N3O4,12,15,284.1286608
C13H19N3O4,13,15,297.1722737
C8H9N3O4,12,14,211.0593058
C8H9N3O4,13,14,219.0861445
C8H9N3O4,12,15,214.0504105
C8H9N3O4,13,15,222.0772492
C47H51NO14,12,14,853.3309554
C47H51NO14,13,14,900.4886327
C47H51NO14,12,15,854.3279902
C47H51NO14,13,15,901.4856676
C16H22N4O9,12,14,414.1386783
C16H22N4O9,13,14,430.1923557
C16H22N4O9,12,15,418.1268179
C16H22N4O9,13,15,434.1804953
C46H46N2O23,12,14,994.2491358
C46H46N2O23,13,14,1040.403458
C46H46N2O23,12,15,996.2432056
C46H46N2O23,13,15,1042.397528
C28H32Cl2O10P2S2,12,14,724.0289171
C28H32Cl2O10P2S2,13,14,752.1228525
C28H32Cl2O10P2S2,12,15,724.0289171
C28H32Cl2O10P2S2,13,15,752.1228525
C4H8O3S,12,14,136.0194148
C4H8O3S,13,14,140.0328342
C4H8O3S,12,15,136.0194148
C4H8O3S,13,15,140.0328342
C17H26N3O15P,12,14,543.1101537
C17H26N3O15P,13,14,560.1671859
C17H26N3O15P,12,15,546.1012584
C17H26N3O15P,13,15,563.1582906
C14H21N3O2S,12,14,295.1354476
C14H21N3O2S,13,14,309.1824154
C14H21N3O2S,12,15,298.1265523
C14H21N3O2S,13,15,312.17352
C36H60O2,12,14,524.4593312
C36H60O2,13,14,560.5801053
C36H60O2,12,15,524.4593312
C36H60O2,13,15,560.5801053
C13H20ClNO,12,14,241.123342
C13H20ClNO,13,14,254.1669549
C13H20ClNO,12,15,242.1203769
C13H20ClNO,13,15,255.1639898
C5H4O2,12,14,96.02112937
C5H4O2,13,14,101.0379036
C5H4O2,12,15,96.02112937
C5H4O2,13,15,101.0379036
C52H82O2,12,14,738.6314819
C52H82O2,13,14,790.8059334
C52H82O2,12,15,738.6314819
C52H82O2,13,15,790.8059334
C5H8N4O12,12,14,316.0138717
C5H8N4O12,13,14,321.0306459
C5H8N4O12,12,15,320.0020113
C5H8N4O12,13,15,325.0187855
C5H4O3,12,14,112.016044
C5H4O3,13,14,117.0328182
C5H4O3,12,15,112.016044
C5H4O3,13,15,117.0328182
C12H18N2O,12,14,206.1419132
C12H18N2O,13,14,218.1821713
C12H18N2O,12,15,208.135983
C12H18N2O,13,15,220.1762411
C15H21N3O,12,14,259.1684623
C15H21N3O,13,14,274.2187849
C15H21N3O,12,15,262.159567
C15H21N3O,13,15,277.2098896
C11H8O2,12,14,172.0524295
C11H8O2,13,14,183.0893327
C11H8O2,12,15,172.0524295
C11H8O2,13,15,183.0893327
C11H8O3,12,14,188.0473441
C11H8O3,13,14,199.0842473
C11H8O3,12,15,188.0473441
C11H8O3,13,15,199.0842473
C11H8O4,12,14,204.0422587
C11H8O4,13,14,215.079162
C11H8O4,12,15,204.0422587
C11H8O4,13,15,215.079162
C11H8O5,12,14,220.0371734
C11H8O5,13,14,231.0740766
C11H8O5,12,15,220.0371734
C11H8O5,13,15,231.0740766
C15H10ClN3O3,12,14,315.0410689
C15H10ClN3O3,13,14,330.0913915
C15H10ClN3O3,12,15,318.0321736
C15H10ClN3O3,13,15,333.0824962
C11H8O6,12,14,236.032088
C11H8O6,13,14,247.0689912
C11H8O6,12,15,236.032088
C11H8O6,13,15,247.0689912
C6H12N3PS,12,14,189.0489546
C6H12N3PS,13,14,195.0690836
C6H12N3PS,12,15,192.0400593
C6H12N3PS,13,15,198.0601883
CH5N3O,12,14,75.0432618
CH5N3O,13,14,76.04661664
CH5N3O,12,15,78.03436648
CH5N3O,13,15,79.03772132
C6H14ClNO2S,12,14,199.0433771
C6H14ClNO2S,13,14,205.0635061
C6H14ClNO2S,12,15,200.040412
C6H14ClNO2S,13,15,206.060541
C51H82O21,12,14,1030.53486
C51H82O21,13,14,1081.705956
C51H82O21,12,15,1030.53486
C51H82O21,13,15,1081.705956
C25H30O12,12,14,522.1737264
C25H30O12,13,14,547.2575974
C25H30O12,12,15,522.1737264
C25H30O12,13,15,547.2575974
C51H82O23,12,14,1062.524689
C51H82O23,13,14,1113.695786
C51H82O23,12,15,1062.524689
C51H82O23,13,15,1113.695786
C15H18O2,12,14,230.1306798
C15H18O2,13,14,245.1810024
C15H18O2,12,15,230.1306798
C15H18O2,13,15,245.1810024
C15H18O3,12,14,246.1255944
C15H18O3,13,14,261.175917
C15H18O3,12,15,246.1255944
C15H18O3,13,15,261.175917
C33H24O10,12,14,580.136947
